Institution Number,PI Last Name,PI First Name,PI Department Name,Investigator ALL Last Name,Investigator ALL First Name,Investigator ALL Dept or Unit,Sponsor Name,Project Title,Requested Project Period Start Date,Requested Project Period End Date,Project Total Requested Sponsor Costs (entire project),Current Proposal Status,Current Proposal Status Date,ARRA Funding,Sponsor Award Number
PD300001,McVoy,Michael,Pediatrics,Kuchta~Wang~McVoy~,Alison~Jianben~Michael~,Microbiology and Immunology~Virginia Commonwealth University~Pediatrics~,National Institute of Allergy and Infectious Diseases/NIH/DHHS,Human cytomegalovirus alkaline nuclease (pUL98): potential antiviral target?,1-Jul-07,30-Jun-10,385961,Award Archived,29-May-12,N,5R21AI071995-02
PD300003,Povlishock,John,Anatomy and Neurobiology,Baranova~Povlishock~Wei~,Anna~John~Enoch~,Anatomy and Neurobiology~Anatomy and Neurobiology~Anatomy and Neurobiology~,National Institutes of Health,Combined Hypothermia and Neuroprotectants Extend Their Usefulness & Efficacy,1-Jul-07,30-Jun-09,402623,Proposal Not Awarded,27-May-08,N,NA
PD300005,Yang,Hu,Biomedical Engineering,Kao~Yang~,Weinyuan~Hu~,University of Wisconsin~Biomedical Engineering~,National Institutes of Health,Multifunctional Dendrimers for Enhancing Brain-Uptake of CNS-active Drugs,1-Aug-07,31-Jul-09,367094,Proposal Not Awarded,27-Feb-07,N,NA
PD300008,Ryan,John,Biology,Barnstein~Norton~Thornton~Shevach~Ryan~,Brian~Sarah~Angela~Ethan~John~,Biology~Biology~Virginia Commonwealth University~Virginia Commonwealth University~Biology~,National Institutes of Health,Control of Mast Cell Function and Survival by Regulatory,1-Jul-07,30-Jun-09,369796,Proposal Not Awarded,6-Sep-07,N,NA
PD300013,Van Den Oord,Edwin,Pharmacotherapy & Outcomes Science,McClay~Adkins~Maher~Bukszar~Riley~Kendler~Van Den Oord~Webb~,Joseph~Daniel~Brion~Jozsef~Brien~Kenneth~Edwin~Bradley~,Pharmacotherapy & Outcomes Science~Pharmacotherapy & Outcomes Science~Psychiatry~Pharmacotherapy & Outcomes Science~Psychiatry~Psychiatry~Pharmacotherapy & Outcomes Science~Psychiatry~,National Institute of Mental Health/NIH/DHHS,A Genome-wide Association Study to Detect Genetic Variation for Schizophrenia,1-Dec-07,30-Nov-10,1005750,Award Archived,15-Mar-13,N,5R01MH078069-03 REV
PD300015,Meredith,Marvin,Anatomy and Neurobiology,Guido~Lomber~Allman~~Malhotra~Meredith~,William~Stephen~Brian~TBD~Shveta~Marvin~,Anatomy and Neurobiology~Center for Brain and Mind Robarts Research Inst~Anatomy and Neurobiology~Virginia Commonwealth University~Center for Brain and Mind Robarts Research Inst~Anatomy and Neurobiology~,National Institutes of Health,Adaptive Neuroplasticity of Cross-Modal Circuits,1-Dec-07,30-Nov-12,2021929,Proposal Not Awarded,26-Jun-07,N,NA
PD300016,Gil,Gregorio,Biochemistry and Molecular Biology,~Moore~Rodriguez Hernandez~Graves~Marques~Cronk~Li~Pandak~Gil~,TBD~David~Carmen~Paul~Dalila~Zhumei~Quanzhong~William~Gregorio~,NA,National Institutes of Health,Regulation of Bile Acid Synthesis by Nuclear Receptors in Vivo,1-Dec-07,30-Nov-12,1868187,Proposal Not Awarded,4-Mar-08,N,NA
PD300017,Akbarali,Hamid,Pharmacology and Toxicology,Drozd~Ross~Stevens~Dewey~Akbarali~,Mary~Gracious~David~William~Hamid~,Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,Morphine-induced tolerance in the ileum and colon,1-Dec-07,30-Nov-12,1862500,Proposal Not Awarded,30-Aug-07,N,1R01DA024009-01
PD300018,Lyon,Debra,Family and Community Health Nursing,~~Anderson~Stillman~Fox~Schubert~~Munro~Smith~Lyon~McCain~,TBD Project Coordinator~TBD Predoctoral Student~George~Julie~Sherry~Christine~TBD Oncology Nurse~Cindy~Thomas~Debra~Nancy~,NA,National Institutes of Health,Biomarkers and Sympton Clusters in Metastatic Breast Cancer,1-Dec-07,30-Nov-11,1360355,Proposal Not Awarded,26-Jun-07,N,NA
PD300019,Chalfant,Charles,Biochemistry and Molecular Biology,Ogretmen~Murudkar~Goehe~Shultz~Chalfant~,Besim~Charuta~Rachel~Jacqueline~Charles~,Medical University of South Carolina~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~,National Institutes of Health,Bcl-x pre-mRNA splicing in lung cancer,1-Jan-08,31-Dec-12,1610100,Proposal Withdrawn,28-Sep-07,N,NA
